fpr,tpr,thresholds,auc,ews,scale
0.02,0.6,0.7733821733821734,0.9667500000000001,Lag-1 AC,0.8
0.02,0.62,0.7665445665445666,0.9667500000000001,Lag-1 AC,0.8
0.03,0.62,0.7592185592185591,0.9667500000000001,Lag-1 AC,0.8
0.03,0.63,0.7582417582417581,0.9667500000000001,Lag-1 AC,0.8
0.04,0.64,0.7567765567765566,0.9667500000000001,Lag-1 AC,0.8
0.05,0.64,0.7518925518925518,0.9667500000000001,Lag-1 AC,0.8
0.05,0.67,0.7455433455433454,0.9667500000000001,Lag-1 AC,0.8
0.06,0.67,0.745054945054945,0.9667500000000001,Lag-1 AC,0.8
0.06,0.69,0.7435897435897435,0.9667500000000001,Lag-1 AC,0.8
0.06,0.71,0.7391941391941391,0.9667500000000001,Lag-1 AC,0.8
0.06,0.76,0.7123321123321122,0.9667500000000001,Lag-1 AC,0.8
0.06,0.78,0.7079365079365079,0.9667500000000001,Lag-1 AC,0.8
0.06,0.82,0.701098901098901,0.9667500000000001,Lag-1 AC,0.8
0.06,0.84,0.6927960927960928,0.9667500000000001,Lag-1 AC,0.8
0.06,0.89,0.6854700854700855,0.9667500000000001,Lag-1 AC,0.8
0.08,0.89,0.6634920634920635,0.9667500000000001,Lag-1 AC,0.8
0.08,0.94,0.6293040293040292,0.9667500000000001,Lag-1 AC,0.8
0.09,0.94,0.6278388278388277,0.9667500000000001,Lag-1 AC,0.8
0.09,0.95,0.6092796092796092,0.9667500000000001,Lag-1 AC,0.8
0.17,0.95,0.4866910866910866,0.9667500000000001,Lag-1 AC,0.8
0.17,0.96,0.4764346764346764,0.9667500000000001,Lag-1 AC,0.8
0.19,0.96,0.4432234432234432,0.9667500000000001,Lag-1 AC,0.8
0.19,0.97,0.4412698412698412,0.9667500000000001,Lag-1 AC,0.8
0.25,0.97,0.3655677655677655,0.9667500000000001,Lag-1 AC,0.8
0.25,0.98,0.325030525030525,0.9667500000000001,Lag-1 AC,0.8
0.29,0.98,0.2493284493284493,0.9667500000000001,Lag-1 AC,0.8
0.29,0.99,0.2454212454212454,0.9667500000000001,Lag-1 AC,0.8
0.3,0.99,0.2205128205128204,0.9667500000000001,Lag-1 AC,0.8
0.3,1.0,0.1873015873015872,0.9667500000000001,Lag-1 AC,0.8
0.85,1.0,-0.5731379731379731,0.9667500000000001,Lag-1 AC,0.8
0.87,1.0,-0.5746031746031746,0.9667500000000001,Lag-1 AC,0.8
1.0,1.0,-0.7499389499389498,0.9667500000000001,Lag-1 AC,0.8
0.0,0.0,inf,0.981,DL bif,0.9
0.0,0.01,0.9987858524039999,0.981,DL bif,0.9
0.0,0.81,0.48597947903999994,0.981,DL bif,0.9
0.01,0.81,0.4853671234,0.981,DL bif,0.9
0.01,0.93,0.46052047189,0.981,DL bif,0.9
0.02,0.93,0.455898969,0.981,DL bif,0.9
0.02,0.97,0.43467629603,0.981,DL bif,0.9
0.1,0.97,0.378298486,0.981,DL bif,0.9
0.1,0.98,0.36379720812999994,0.981,DL bif,0.9
0.68,0.98,0.12915780670000002,0.981,DL bif,0.9
0.68,0.99,0.12894487935,0.981,DL bif,0.9
0.92,0.99,0.0736310775,0.981,DL bif,0.9
0.92,1.0,0.0714979468,0.981,DL bif,0.9
1.0,1.0,0.02519597416,0.981,DL bif,0.9
0.0,0.0,inf,0.69655,Variance,0.9
0.0,0.01,0.8876678876678876,0.69655,Variance,0.9
0.0,0.08,0.8368742368742368,0.69655,Variance,0.9
0.01,0.09,0.8148962148962149,0.69655,Variance,0.9
0.01,0.12,0.8061050061050061,0.69655,Variance,0.9
0.04,0.12,0.7943833943833943,0.69655,Variance,0.9
0.04,0.2,0.7523809523809523,0.69655,Variance,0.9
0.09,0.2,0.7191697191697192,0.69655,Variance,0.9
0.09,0.22,0.703052503052503,0.69655,Variance,0.9
0.1,0.22,0.7025641025641025,0.69655,Variance,0.9
0.1,0.33,0.6278388278388277,0.69655,Variance,0.9
0.11,0.33,0.6263736263736263,0.69655,Variance,0.9
0.11,0.34,0.6175824175824175,0.69655,Variance,0.9
0.13,0.34,0.6151404151404151,0.69655,Variance,0.9
0.13,0.37,0.6029304029304029,0.69655,Variance,0.9
0.14,0.37,0.6004884004884005,0.69655,Variance,0.9
0.14,0.39,0.5755799755799755,0.69655,Variance,0.9
0.16,0.39,0.5628815628815629,0.69655,Variance,0.9
0.16,0.42,0.5345543345543345,0.69655,Variance,0.9
0.17,0.42,0.5296703296703297,0.69655,Variance,0.9
0.18,0.43,0.5286935286935286,0.69655,Variance,0.9
0.18,0.44,0.5223443223443223,0.69655,Variance,0.9
0.19,0.44,0.5189255189255189,0.69655,Variance,0.9
0.19,0.48,0.5106227106227106,0.69655,Variance,0.9
0.2,0.48,0.4993894993894993,0.69655,Variance,0.9
0.2,0.52,0.4329670329670329,0.69655,Variance,0.9
0.21,0.52,0.428083028083028,0.69655,Variance,0.9
0.21,0.53,0.4241758241758241,0.69655,Variance,0.9
0.22,0.53,0.4207570207570207,0.69655,Variance,0.9
0.22,0.54,0.4183150183150182,0.69655,Variance,0.9
0.25,0.54,0.3924297924297924,0.69655,Variance,0.9
0.25,0.62,0.3372405372405372,0.69655,Variance,0.9
0.27,0.62,0.3162393162393162,0.69655,Variance,0.9
0.27,0.64,0.3059829059829059,0.69655,Variance,0.9
0.32,0.64,0.2522588522588522,0.69655,Variance,0.9
0.32,0.65,0.2478632478632478,0.69655,Variance,0.9
0.37,0.65,0.218070818070818,0.69655,Variance,0.9
0.37,0.68,0.1711843711843712,0.69655,Variance,0.9
0.39,0.68,0.136996336996337,0.69655,Variance,0.9
0.39,0.7,0.1345543345543345,0.69655,Variance,0.9
0.41,0.7,0.0876678876678876,0.69655,Variance,0.9
0.42,0.71,0.0666666666666666,0.69655,Variance,0.9
0.42,0.72,0.0632478632478632,0.69655,Variance,0.9
0.46,0.72,0.0515262515262515,0.69655,Variance,0.9
0.46,0.73,0.0437118437118437,0.69655,Variance,0.9
0.47,0.73,0.0217338217338217,0.69655,Variance,0.9
0.47,0.74,0.0212454212454212,0.69655,Variance,0.9
0.49,0.74,0.0065934065934065,0.69655,Variance,0.9
0.49,0.77,-0.0017094017094017,0.69655,Variance,0.9
0.5,0.77,-0.0139194139194139,0.69655,Variance,0.9
0.5,0.78,-0.0144078144078144,0.69655,Variance,0.9
0.51,0.78,-0.0261294261294261,0.69655,Variance,0.9
0.51,0.8,-0.0725274725274725,0.69655,Variance,0.9
0.52,0.8,-0.0744810744810744,0.69655,Variance,0.9
0.52,0.81,-0.1101343101343101,0.69655,Variance,0.9
0.54,0.81,-0.135042735042735,0.69655,Variance,0.9
0.56,0.81,-0.1384615384615384,0.69655,Variance,0.9
0.59,0.81,-0.1946275946275946,0.69655,Variance,0.9
0.59,0.82,-0.2102564102564102,0.69655,Variance,0.9
0.63,0.82,-0.2371184371184371,0.69655,Variance,0.9
0.63,0.83,-0.2473748473748473,0.69655,Variance,0.9
0.66,0.83,-0.3006105006105006,0.69655,Variance,0.9
0.66,0.84,-0.3094017094017093,0.69655,Variance,0.9
0.7,0.84,-0.3518925518925518,0.69655,Variance,0.9
0.7,0.85,-0.3601953601953602,0.69655,Variance,0.9
0.71,0.85,-0.3675213675213675,0.69655,Variance,0.9
0.71,0.88,-0.3885225885225885,0.69655,Variance,0.9
0.72,0.88,-0.4095238095238095,0.69655,Variance,0.9
0.72,0.89,-0.4124542124542124,0.69655,Variance,0.9
0.8,0.89,-0.4969474969474969,0.69655,Variance,0.9
0.8,0.92,-0.557997557997558,0.69655,Variance,0.9
0.84,0.92,-0.5765567765567765,0.69655,Variance,0.9
0.84,0.93,-0.5799755799755799,0.69655,Variance,0.9
0.85,0.93,-0.5848595848595848,0.69655,Variance,0.9
0.85,0.94,-0.5931623931623932,0.69655,Variance,0.9
0.89,0.94,-0.6200244200244199,0.69655,Variance,0.9
0.89,0.95,-0.6507936507936508,0.69655,Variance,0.9
0.91,0.95,-0.6844932844932845,0.69655,Variance,0.9
0.91,0.96,-0.6879120879120879,0.69655,Variance,0.9
0.94,0.96,-0.724053724053724,0.69655,Variance,0.9
0.94,1.0,-0.7523809523809523,0.69655,Variance,0.9
1.0,1.0,-0.8901098901098901,0.69655,Variance,0.9
0.0,0.0,inf,0.9775999999999999,Lag-1 AC,0.9
0.0,0.01,0.9775335775335774,0.9775999999999999,Lag-1 AC,0.9
0.0,0.11,0.9438339438339438,0.9775999999999999,Lag-1 AC,0.9
0.0,0.13,0.941880341880342,0.9775999999999999,Lag-1 AC,0.9
0.0,0.2,0.9296703296703296,0.9775999999999999,Lag-1 AC,0.9
0.0,0.22,0.9267399267399268,0.9775999999999999,Lag-1 AC,0.9
0.0,0.29,0.9145299145299144,0.9775999999999999,Lag-1 AC,0.9
0.0,0.31,0.913064713064713,0.9775999999999999,Lag-1 AC,0.9
0.0,0.34,0.9042735042735044,0.9775999999999999,Lag-1 AC,0.9
0.0,0.36,0.9032967032967032,0.9775999999999999,Lag-1 AC,0.9
0.0,0.39,0.896947496947497,0.9775999999999999,Lag-1 AC,0.9
0.0,0.41,0.895970695970696,0.9775999999999999,Lag-1 AC,0.9
0.0,0.48,0.8778998778998778,0.9775999999999999,Lag-1 AC,0.9
0.0,0.5,0.8735042735042734,0.9775999999999999,Lag-1 AC,0.9
0.0,0.52,0.8622710622710622,0.9775999999999999,Lag-1 AC,0.9
0.0,0.54,0.8608058608058607,0.9775999999999999,Lag-1 AC,0.9
0.0,0.64,0.8241758241758241,0.9775999999999999,Lag-1 AC,0.9
0.01,0.64,0.8236874236874236,0.9775999999999999,Lag-1 AC,0.9
0.01,0.67,0.8114774114774115,0.9775999999999999,Lag-1 AC,0.9
0.02,0.67,0.8085470085470086,0.9775999999999999,Lag-1 AC,0.9
0.02,0.69,0.8056166056166056,0.9775999999999999,Lag-1 AC,0.9
0.02,0.71,0.8017094017094016,0.9775999999999999,Lag-1 AC,0.9
0.02,0.74,0.7787545787545788,0.9775999999999999,Lag-1 AC,0.9
0.03,0.74,0.7768009768009768,0.9775999999999999,Lag-1 AC,0.9
0.03,0.76,0.7660561660561661,0.9775999999999999,Lag-1 AC,0.9
0.04,0.77,0.7645909645909645,0.9775999999999999,Lag-1 AC,0.9
0.04,0.81,0.7572649572649571,0.9775999999999999,Lag-1 AC,0.9
0.04,0.83,0.7465201465201464,0.9775999999999999,Lag-1 AC,0.9
0.04,0.89,0.7216117216117216,0.9775999999999999,Lag-1 AC,0.9
0.07,0.89,0.7064713064713064,0.9775999999999999,Lag-1 AC,0.9
0.07,0.91,0.6932844932844933,0.9775999999999999,Lag-1 AC,0.9
0.08,0.91,0.6703296703296703,0.9775999999999999,Lag-1 AC,0.9
0.08,0.92,0.6644688644688644,0.9775999999999999,Lag-1 AC,0.9
